Week,Deaths
1,783
2,514
3,403
4,331
5,265
6,172
7,180
8,170
9,152
10,125
11,164
12,172
13,210
14,188
15,167
16,282
17,252
18,239
19,160
20,134
21,149
22,112
23,106
24,67
25,68
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
