Week,Deaths
1,386
2,342
3,373
4,293
5,297
6,279
7,210
8,170
9,171
10,171
11,178
12,188
13,256
14,286
15,262
16,273
17,254
18,255
19,140
20,129
21,98
22,84
23,50
24,41
25,23
26,20
27,10
28,7
29,11
30,21
31,23
32,22
33,41
34,32
35,40
36,48
37,39
38,54
39,56
40,62
41,91
42,108
43,149
44,153
45,196
46,260
47,297
48,350
49,310
50,250
51,218
52,155
