ages,Deaths
0 - 14,15
15 - 29,23
30 - 34,16
35 - 39,27
40 - 44,33
45 - 49,60
50 - 54,116
55 - 59,150
60 - 64,229
65 - 69,441
70 - 74,753
75 - 79,1133
80 - 84,1592
85 +,5271
