Week,Deaths
1,3350
2,3298
3,3158
4,2856
5,2581
6,2132
7,2091
8,2063
9,2271
10,2507
11,2900
12,3038
13,3116
14,2991
15,2487
16,2282
17,1848
18,1486
19,1172
20,824
21,593
22,424
23,296
24,215
25,140
26,106
27,80
28,68
29,73
30,92
31,149
32,241
33,320
34,374
35,412
36,403
37,386
38,346
39,293
40,246
41,226
42,238
43,280
44,313
45,387
46,451
47,533
48,582
49,755
50,881
51,1103
52,1208
