Week,Deaths
1,313
2,398
3,419
4,485
5,556
6,548
7,531
8,502
9,532
10,566
11,606
12,473
13,871
14,689
15,842
16,687
17,715
18,644
19,633
20,652
21,661
22,769
23,763
24,813
25,771
26,810
27,794
28,636
29,555
30,490
31,503
32,380
33,274
34,236
35,226
36,134
37,138
38,93
39,52
40,70
41,43
42,65
43,81
44,98
45,110
46,143
47,188
48,183
49,181
50,194
51,173
52,127
