Week,Deaths
1,436
2,450
3,400
4,369
5,298
6,253
7,218
8,224
9,190
10,214
11,246
12,216
13,271
14,251
15,245
16,200
17,194
18,157
19,105
20,73
21,72
22,48
23,37
24,33
25,19
26,24
27,12
28,14
29,16
30,15
31,19
32,16
33,13
34,34
35,44
36,51
37,86
38,73
39,80
40,73
41,106
42,112
43,141
44,208
45,334
46,395
47,481
48,480
49,406
50,281
51,172
52,128
