Week,Deaths
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,195
13,783
14,1584
15,1976
16,1666
17,1186
18,696
19,533
20,312
21,231
22,161
23,109
24,57
25,40
26,40
27,24
28,11
29,18
30,14
31,21
32,33
33,74
34,41
35,24
36,18
37,17
38,27
39,39
40,82
41,140
42,238
43,505
44,1060
45,1435
46,1336
47,1131
48,882
49,700
50,665
51,654
52,536
