Week,Deaths
1,258
2,332
3,302
4,278
5,252
6,226
7,212
8,168
9,165
10,161
11,181
12,151
13,131
14,147
15,146
16,119
17,150
18,141
19,120
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,21
33,20
34,25
35,50
36,60
37,56
38,65
39,77
40,101
41,79
42,95
43,92
44,77
45,88
46,94
47,84
48,88
49,54
50,44
51,36
52,33
