Week,Deaths
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,6
14,21
15,46
16,53
17,55
18,66
19,57
20,117
21,252
22,324
23,544
24,1560
25,1194
26,1052
27,845
28,689
29,1564
30,575
31,513
32,478
33,384
34,397
35,389
36,370
37,344
38,359
39,337
40,328
41,353
42,316
43,304
44,315
45,292
46,278
47,253
48,292
49,270
50,254
51,255
52,303
