Week,Deaths
1,280
2,301
3,261
4,251
5,194
6,148
7,170
8,117
9,98
10,107
11,74
12,111
13,96
14,84
15,69
16,73
17,72
18,54
19,38
20,53
21,50
22,37
23,40
24,34
25,33
26,32
27,23
28,24
29,21
30,34
31,31
32,33
33,39
34,50
35,38
36,51
37,35
38,40
39,42
40,28
41,25
42,16
43,10
44,15
45,8
46,6
47,9
48,9
49,2
50,8
51,6
52,3
