Week,Deaths
1,1022
2,1561
3,1673
4,1545
5,1391
6,1186
7,970
8,879
9,816
10,821
11,829
12,1006
13,1063
14,1134
15,1152
16,1185
17,1249
18,839
19,796
20,615
21,469
22,211
23,335
24,309
25,347
26,413
27,529
28,696
29,864
30,923
31,802
32,675
33,622
34,505
35,350
36,414
37,348
38,274
39,343
40,449
41,625
42,737
43,718
44,708
45,583
46,471
47,400
48,372
49,381
50,435
51,514
52,
